aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,avgMCP,daily MW1,daily MW2,daily MW3,daily MW4,daily MW5,daily MW6
21,25.71428571,27.27272727,90,40,18,0.095455455,0.006,0.01,0.675001,0.066666917,0.017,21.81077496,84.30604566,116.347296,9.095682152,0.333866398,588.1878037,255.4575163
28,25.71428571,75,32.72727273,40,24,0.025455091,0.128572429,0.01,0.034181818,0.100000333,0.064953488,18.50630742,105.5862681,97.74481085,7.605218541,3.460166691,482.2233701,415.0305442
24,16.36363636,60,90,10,36,0.009917851,0.016364236,0.011538577,0.012,0.014666667,0.017,19.93649167,89.86822188,102.3625743,6.809112766,0.421960269,721.9564156,270.0164069
28,20,75,40,10.90909091,16,0.127273636,0.300002,0.051511154,0.20000075,0.052242424,0.055683721,18.75205004,87.65673021,56.5755095,7.284457716,0.412528798,510.4491276,273.4780813
56,45,27.27272727,30,17.14285714,13.09090909,0.356364727,0.675002,0.032127872,0.1338,0.031714286,0.031208245,20.51072227,108.6378841,85.21332284,7.540686369,0.439799763,753.8082933,234.4048111
21,15,30,32.72727273,15,20.57142857,0.068182597,0.249,0.039230769,0.126981818,0.0243,0.068940199,22.12156732,96.25314289,97.05482495,7.387905997,0.365385127,764.9959219,243.1090159
16.8,25.71428571,27.27272727,90,15,20.57142857,0.005,0.006,0.041853147,0.45000075,0.048833333,0.099893688,20.14968128,102.1118781,105.1526416,7.85722674,0.578275439,594.9732836,254.1253041
33.6,25.71428571,50,45,10.90909091,13.09090909,0.030546,0.1800012,0.034340824,0.337501,0.027709091,0.018545455,19.15573023,102.0796163,84.37136596,6.933904441,0.485507411,532.5975086,251.1592121
16.8,18,100,90,10,36,0.076364545,0.1800015,0.01,0.675001,0.012111111,0.12558186,19.39890411,93.82846463,100.8183102,6.867788894,0.737911049,478.4874495,249.8730578
18.66666667,30,37.5,72,24,20.57142857,0.005,0.3000015,0.01,0.1800005,0.007,0.068940199,23.87908647,92.102506,146.3724908,12.13812947,1.516190913,501.6343557,282.7587578
33.6,25.71428571,27.27272727,120,17.14285714,20.57142857,0.050909697,0.257144357,0.032127872,0.4200006,0.007,0.017,22.85184976,111.0025731,99.39929368,8.149994332,0.688478814,505.2117304,309.0668184
