1,1,1,1,1,1,1,1,1,1,1,1,avgLMP1,avgLMP2,avgLMP3,avgLMP4,avgLMP5,avgLMP6,avgMW1,avgMW2,avgMW3,avgMW4,avgMW5,avgMW6
,,,,,,,,,,,,16.29316723,19.59805284,20.54725223,19.90368703,17.74160599,18.48493755,127.8840724,122.5333056,58.60027512,0.652164546,542.8337915,204.9073323
,,,,,,,,,,,,14.80261025,20.24357479,24.71922198,21.74517587,17.95836618,22.39559919,114.3745853,82.15891098,55.7452484,0.450060539,497.3431014,225.4439453
,,,,,,,,,,,,14.53807676,23.72365993,28.60012304,20.12300625,21.79180282,19.93630072,96.11673031,111.1187142,84.80242829,0.419769291,494.4601341,219.3498436
,,,,,,,,,,,,19.52868901,26.33313774,19.70428826,24.86495552,19.08727743,20.68482633,112.7527552,112.4668393,79.35239993,0.397645019,495.7037624,209.839763
,,,,,,,,,,,,16.43504012,21.94616537,22.19454987,24.82079695,26.01172862,17.43232329,102.0182707,131.1109774,60.96403827,0.635084264,489.1570611,213.9860598
,,,,,,,,,,,,16.03135982,18.19291727,25.51703934,19.19530327,22.26834302,18.78050893,111.7018445,96.06160748,57.97631958,0.426020038,480.6654877,301.477925
,,,,,,,,,,,,21.90318426,22.22143607,21.9631751,22.24294635,22.79902208,17.52302764,109.8593498,93.43810191,63.12034751,0.31179548,383.086308,205.1232485
,,,,,,,,,,,,19.2765763,24.59678639,22.41888133,18.11588457,21.87767557,25.97989058,109.476335,89.18597129,49.55391033,0.487125298,457.4071785,260.6172247
,,,,,,,,,,,,20.83093516,33.46421291,21.62280673,19.37320155,14.62263642,16.51734597,97.0985865,91.54539316,56.10109147,0.582901936,651.6816036,228.9393517
,,,,,,,,,,,,16.71302141,28.62497074,20.2664464,19.66979564,21.11329673,17.86714627,91.21134078,98.91875652,56.63141581,0.46789624,591.8462874,228.3745484
,,,,,,,,,,,,17.42312201,24.90043783,21.38154925,20.5068211,19.78839894,19.32377885,99.8848942,127.9509619,65.08109038,0.542074476,591.7897982,169.6426246
,,,,,,,,,,,,14.43919345,18.44702635,21.44294101,20.36738108,25.72587509,23.52782155,100.2839437,93.56504919,58.7087692,0.497821953,590.5783209,238.2808395
,,,,,,,,,,,,24.65568779,20.95406545,25.87744619,19.72287012,17.75781361,17.04962057,109.7919234,86.43469246,63.21276085,0.808077804,729.0220418,248.0078689
,,,,,,,,,,,,15.63652516,19.41498829,22.63384475,22.33462958,17.78195986,19.85958594,97.24287589,94.08039704,62.12481239,0.576114513,514.417631,232.8133396
,,,,,,,,,,,,17.02160757,21.40904991,22.26925313,22.725341,17.6489994,18.25089922,106.4314627,113.9091696,62.46067745,0.576078328,547.9791117,286.3089857
,,,,,,,,,,,,14.26969652,21.38646208,22.06953137,23.30360855,20.99158371,19.64249544,114.3865761,105.2724233,65.58685955,0.374790538,576.7170329,223.5063913
,,,,,,,,,,,,20.64148617,24.01936368,15.59624237,19.85117366,17.35736,17.14777071,111.4580728,81.22605065,60.90133583,0.397464842,490.8538595,207.2517546
,,,,,,,,,,,,15.2151095,21.47102281,32.22736652,20.98580921,28.18075614,18.45351553,103.411723,93.52179804,55.37103822,0.434557929,486.1520802,213.3690853
,,,,,,,,,,,,14.92244081,32.93399363,22.51694492,17.993044,22.22611792,22.55412476,119.7520969,95.75127856,59.0558556,0.661612441,546.8215913,271.8266909
,,,,,,,,,,,,15.74677097,25.4790276,23.60606296,20.8781921,21.27104556,15.67722193,91.47677056,94.5191443,56.37422437,0.503570181,554.8683291,203.8035102
,,,,,,,,,,,,16.32410377,40.56646146,28.55771775,18.61419321,27.00650603,19.03282385,109.4754964,101.0736796,61.55836724,0.436861006,499.8200109,207.6664268
,,,,,,,,,,,,14.38548492,27.03720311,21.78106077,21.03403459,19.94328913,18.11113765,108.8795625,87.65793507,79.10669637,0.46842666,503.868823,227.4003122
,,,,,,,,,,,,16.55265275,21.55733936,19.46779584,25.74996989,18.94910559,16.75836001,94.71506343,87.24602513,56.04034899,0.534884138,553.3467534,208.2506666
,,,,,,,,,,,,15.27910824,23.35014693,24.4965183,24.84027345,31.15503653,18.0997284,111.8816471,85.11899203,54.53549494,0.358053226,722.6408036,211.3943459
,,,,,,,,,,,,18.22214822,21.78826395,23.14954016,18.94000705,20.51563055,16.37448573,98.3069255,106.7279187,70.42716499,0.594344416,484.7948814,290.7887868
,,,,,,,,,,,,14.52521304,19.77252497,19.79017169,20.61943554,20.3552633,18.6801081,99.99785486,81.35636429,77.81333484,0.503135398,660.8434384,202.1400842
,,,,,,,,,,,,16.76079661,23.92434545,21.82969577,22.69020627,23.88117058,19.877407,114.3550512,87.54180385,86.55897422,0.327824968,614.0901476,252.9937607
,,,,,,,,,,,,14.53547001,20.90127733,27.20967934,20.16350918,18.63098802,21.16912801,116.0346742,115.5867539,56.77072069,0.424247965,560.4219678,229.757257
,,,,,,,,,,,,15.63863514,22.79653624,22.34904615,18.37681154,21.81805857,17.81398003,108.7837614,92.51190628,63.05014385,0.259274469,554.3984796,202.5613678
,,,,,,,,,,,,31.39223292,22.7000617,35.76000144,19.90538742,19.30326311,18.68188982,107.8502749,135.9669923,60.10596814,0.344151929,619.4260131,172.6550301
,,,,,,,,,,,,14.69552268,23.29072135,20.92066705,20.16295156,18.48570466,17.18341938,93.14677604,85.14471888,79.27784605,0.678341539,496.6199981,220.4743454
,,,,,,,,,,,,15.71091695,23.98285974,21.62512667,21.70276237,17.92487442,19.17958494,130.1855161,106.8213032,58.25444976,0.485852866,428.2347566,202.0355094
,,,,,,,,,,,,17.00574665,23.74669837,20.15694314,21.00232907,17.12570426,22.98205125,113.3284125,89.71741232,62.45066744,0.595801611,749.4792996,207.116239
,,,,,,,,,,,,22.32893869,19.1983656,22.29372692,20.89188357,18.27468428,21.21603674,98.97766676,83.23625823,56.15213808,0.538041071,558.0074262,245.2618725
