aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,avgMCP,daily MW1,daily MW2,daily MW3,daily MW4,daily MW5,daily MW6
18.66666667,15,27.27272727,32.72727273,13.33333333,48,0.007713994,0.1194,0.10993007,0.048681818,0.034888889,0.055814186,13.98375892,0.38713448,0.634856201,47.34453714,0.349183965,0.609084903,0.938189022
33.6,45,30,120,10,12,0.050909697,0.020455091,0.029505495,0.100000333,0.022333333,0.023190698,13.75205722,0.445560943,0.401841193,42.01646116,0.418325869,0.90642592,0.300246954
33.6,18,30,60,13.33333333,13.09090909,0.152728182,0.1800015,0.012,0.30000075,0.025688889,0.037841136,15.89804334,0.73234003,0.574540001,47.8964305,0.525837928,1.033035831,0.462119056
56,16.36363636,100,45,24,14.4,0.356364727,0.007438562,0.288461923,0.1125005,0.04000025,0.029686047,13.72486601,0.614250754,0.513476283,40.28217415,0.523438353,0.756180524,0.876589181
42,18,30,120,10,48,0.572729091,0.1800015,0.016538462,0.4200006,0.007,0.039867309,14.59431439,0.293896781,0.840659255,43.96222913,0.51804396,0.406135542,0.723682357
56,36,33.33333333,30,20,14.4,0.127273409,0.2520012,0.01,0.186,0.016666833,0.029686047,18.6861868,0.683810325,0.314973199,64.66030917,0.527869492,0.394950226,0.476933198
21,20,42.85714286,120,12,20.57142857,0.047727955,0.009091455,0.013736392,0.60000075,0.016285714,0.017,15.90711139,0.431909752,0.764519869,41.13556803,0.527427117,0.449144316,0.43078797
42,45,100,40,12,18,0.005,0.225001,0.048077067,0.033333667,0.020666667,0.040976744,13.1543812,0.341633576,0.674668083,42.02087386,0.574722329,0.156932327,0.552490039
15.27272727,15,33.33333333,60,10.90909091,36,0.138844339,0.087,0.01,0.012,0.017194805,0.029900532,13.02146963,0.533110609,0.476819108,79.80532942,0.324930155,0.398982125,0.36433025
21,25.71428571,27.27272727,120,10,12,0.047727955,0.025714886,0.024833916,0.027273,0.022333333,0.039109635,14.71305606,0.391227586,0.257856506,53.35845937,0.455573306,0.49937152,0.447383464
56,30,60,32.72727273,17.14285714,14.4,0.050909636,0.0300006,0.01,0.126981818,0.007,0.045162791,20.53881489,0.350221982,0.448627501,46.63492015,0.315092184,0.510809307,0.400786175
21,15,50,40,13.33333333,48,0.286365455,0.087,0.016025769,0.050000375,0.007,0.018604806,14.71413255,0.581369901,0.321669134,80.72146959,0.351433476,0.588126262,0.802011186
24,60,37.5,32.72727273,20,20.57142857,0.009917851,0.6000015,0.01,0.034181818,0.007,0.068940199,12.7605092,0.366092568,0.484346528,45.21125311,0.838543672,0.350597274,0.641678256
28,25.71428571,37.5,60,30,16,0.063637045,0.385716286,0.036057885,0.2100006,0.025000167,0.022666667,15.219471,0.517032205,0.469757553,46.12981055,0.547185271,1.223144478,0.482398379
15.27272727,25.71428571,42.85714286,36,10.90909091,12,0.208266281,0.025714886,0.029435016,0.064286143,0.021575758,0.039109635,14.1988362,0.306925051,0.803428498,42.80572732,0.301939465,0.426870613,0.398658761
33.6,25.71428571,30,36,15,14.4,0.050909697,0.385716286,0.01,0.012,0.007,0.057544186,13.18758282,0.046473215,0.446323329,43.42821042,0.487220461,0.368076896,0.467080549
33.6,16.36363636,42.85714286,60,12,16,0.213819273,0.081819182,0.029435016,0.1500005,0.036,0.017,21.9680948,0.218952066,0.739593638,40.35659826,0.403384746,0.460175786,0.528733224
18.66666667,36,25,30,30,20.57142857,0.169698333,0.016364182,0.013094406,0.273,0.007,0.050368106,14.17962102,0.435646827,0.519740888,43.08420114,0.412731542,0.356073554,0.581809656
14,16.36363636,30,120,17.14285714,18,0.039318182,0.058442416,0.012,0.100000333,0.031714286,0.05335814,14.20488623,0.54254505,0.500899607,76.01273799,0.760178607,0.276525673,0.55451573
21,25.71428571,27.27272727,90,40,18,0.095455455,0.006,0.010909091,0.675001,0.066666917,0.017,24.71868721,0.594286596,0.572529052,44.96252428,0.503741754,0.564366607,0.59124934
28,25.71428571,75,32.72727273,40,24,0.025455091,0.128572429,0.01,0.034181818,0.100000333,0.064953488,12.65658158,0.555099238,0.344582606,45.01285708,0.403589152,0.303222017,0.402884529
