aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,avgMCP,daily MW1,daily MW2,daily MW3,daily MW4,daily MW5,daily MW6
5.25,6.428571429,6.818181818,22.5,10,4.5,0.005,5.00E-07,0.001090909,0.012,0.007,0.001046651,8.098136619,11.87235907,0.334676728,0.265907288,0.256445188,0.330619309,29.40582746
7,6.428571429,18.75,8.181818182,10,6,0.005,0.006,9.62E-08,0.006818515,0.007,0.013953837,6.725944301,10.19294191,0.183670186,0.477040049,0.452940342,0.403334697,41.33731997
6,4.090909091,15,22.5,2.5,9,0.002479835,0.004091509,0.002884731,2.50E-07,0.002091667,0.003488527,9.991223088,14.37182649,0.850918146,0.310553895,0.309072082,0.462706803,30.51976022
7,5,18.75,10,2.727272727,4,0.005,0.006,0.01,0.012,0.007,0.00780093,6.416296806,10.90787652,0.845458133,0.4343739,1.090963044,0.486858455,29.72143958
14,11.25,6.818181818,7.5,4.285714286,3.272727273,0.005,0.006,0.005460539,0.012,0.007,0.003977061,7.247082711,10.85483338,0.516365819,0.300054907,0.463455486,0.574741443,36.37183427
5.25,3.75,7.5,8.181818182,3.75,5.142857143,0.005,0.006,0.007211731,0.012,0.0043752,0.011960482,7.843833493,11.45992683,0.530650081,0.493779799,0.456140459,0.297788691,31.78128399
4.2,6.428571429,6.818181818,22.5,4.285714286,5.142857143,4.55E-07,5.00E-07,0.007463287,0.012,8.33E-08,0.011960482,7.300728221,9.68120244,0.790588542,0.237000053,0.460969327,0.391779846,32.96458685
8.4,6.428571429,12.5,11.25,2.727272727,3.272727273,0.005,0.006,0.00858533,0.012,0.004407273,0.001854545,8.601531043,17.46624465,0.430406684,0.420733805,0.32701572,0.401470554,27.07816965
4.2,4.5,25,30,2.5,12,0.005,0.006,0.004807808,2.50E-07,0.001627778,1.16E-07,6.878060531,11.31359533,0.171982924,0.391244256,0.991903314,0.997658907,30.98057034
4.666666667,7.5,9.375,18,6,5.142857143,4.55E-07,0.006,9.62E-08,0.012,0.0010001,0.011960482,7.278869421,10.4170022,0.37835053,0.436842964,0.346521247,0.445524636,35.58801734
8.4,6.428571429,6.818181818,30,4.285714286,4.5,0.005,0.006,0.005460539,0.012,0.001190587,0.01569814,8.162945152,10.45687933,0.461537281,0.852687855,0.464217689,0.278055745,33.32257971
4.666666667,3.75,15,7.5,7.5,4,0.001928871,0.006,0.001311294,0.012,0.007,0.005725581,7.418045439,10.83082374,0.39841625,0.589103711,0.739208108,0.37967963,39.71014599
6,5,12.5,15,10,3.272727273,0.005,0.0050006,0.004006538,0.012,0.007,0.00242055,6.866709399,10.70401427,0.408411602,0.585702593,0.344867725,0.423744306,34.81825777
4.2,9,9.375,8.181818182,7.5,5.142857143,0.005,5.00E-07,0.001803,2.50E-07,0.007,0.017,6.825569817,11.26213017,0.398777942,0.368277301,0.50197208,0.401494301,38.54928031
14,4.5,9.375,11.25,3.75,3,0.005,0.006,0.006439038,0.002557091,0.007,0.004294186,8.58870456,9.034299348,0.22780125,0.271417496,0.507589302,0.795962626,33.13608923
7,11.25,6.818181818,9,2.5,6,4.55E-07,0.006,4.54E-04,0.012,9.53E-04,0.001395488,7.917287114,11.76276172,0.502166119,0.202033305,0.494839918,0.483549581,87.24237877
6,15,18.75,12.85714286,4.285714286,9,0.005,0.006,0.006009744,2.50E-07,3.25E-04,1.16E-07,9.671767108,9.471812683,0.401531585,0.376213463,0.616426569,0.245617822,36.5632341
6,11.25,15,12.85714286,4.285714286,3.6,0.005,0.006,0.01,0.002922351,0.001785839,0.001473996,8.48076918,12.9524413,0.348844931,0.561592637,0.463762631,0.4985347,35.0678983
3.5,5,10.71428571,8.181818182,3.75,3.272727273,0.005,5.00E-07,0.003434194,0.012,8.33E-08,0.016947992,11.4882894,9.87036858,0.39090553,0.350241037,0.457782161,0.377506438,32.55086487
3.818181818,5,8.333333333,30,4.285714286,12,0.00347162,5.00E-07,0.002671068,0.012,3.25E-04,0.017,7.38295944,10.08506766,0.460458849,0.641708539,0.169762062,0.526285148,45.18918928
